Country,Female,Male,Wage gap,CODE
Albania,452.8482142857143,488.12280701754383,0.07226581553801836,ALB
Angola,587.4117647058823,624.4285714285714,0.05928109061057513,AGO
Argentina,762.493670886076,925.1012658227849,0.1757727515290834,ARG
Armenia,237.02898550724638,323.2047619047619,0.2666290431169723,ARM
Austria,2499.4636363636364,3753.2363636363634,0.3340510977193016,AUT
Azerbaijan,360.2105263157895,569.3588516746412,0.3673400786581062,AZE
Bangladesh,180.8181818181818,209.88888888888889,0.1385052216179797,BGD
Barbados,1310.2631578947369,1490.047619047619,0.12065685609953422,BRB
Belarus,488.6375,639.05,0.23536890697128546,BLR
Belgium,3566.801886792453,4234.028301886792,0.1575866686571287,BEL
Belize,650.2142857142857,720.9639639639639,0.09813205900151557,BLZ
Bolivia,557.5827814569536,631.5870967741936,0.11717198735568556,BOL
Bosnia and Herzegovina,447.6273291925466,498.11728395061726,0.10136157966178137,BIH
Botswana,535.7272727272727,768.4545454545455,0.30285105879569385,BWA
Brazil,750.3260869565217,879.4619565217391,0.146835083209225,BRA
Brunei Darussalam,1642.409090909091,2684.4347826086955,0.388173219349728,BRN
Bulgaria,534.9,673.7833333333333,0.20612461968486406,BGR
Burkina Faso,179.94444444444446,207.1,0.13112291431943765,BFA
Burundi,70.8125,59.45,-0.19112699747687126,BDI
Cambodia,150.60902255639098,186.6689655172414,0.19317588684831377,KHM
Cameroon,288.94117647058823,388.3636363636364,0.2560035250055078,CMR
Cape Verde,280.0,358.94117647058823,0.21992789249426417,CPV
Chad,216.28571428571428,254.5909090909091,0.15045782640854954,TCD
Chile,987.0,1291.0,0.23547637490317583,CHL
Comoros,241.625,252.9047619047619,0.044600828469214815,COM
"Congo, Democratic Republic of the",99.0,137.10526315789474,0.27792706333973133,Unknown
Costa Rica,828.1546961325967,916.9893617021277,0.09687644075241499,CRI
Croatia,1413.5084745762713,1600.2033898305085,0.11666949116637712,HRV
Curaao,1356.8,1654.3809523809523,0.17987450348281617,Unknown
Cyprus,1812.8783783783783,2422.2094594594596,0.2515600286760748,CYP
Czechia,1208.6888888888889,1561.0277777777778,0.22570955744968596,CZE
Cte d'Ivoire,201.2,217.3,0.07409111826967336,Unknown
Denmark,5464.315789473684,6470.8421052631575,0.15554796414686117,DNK
Dominican Republic,269.943661971831,358.1744186046512,0.24633461255145722,DOM
Ecuador,581.9653179190751,628.36,0.07383455675237904,ECU
Egypt,265.0751445086705,271.44086021505376,0.02345157505520684,EGY
El Salvador,365.205,373.85781990521326,0.023144680797119843,SLV
Estonia,1160.921052631579,1578.6315789473683,0.2646029205841168,EST
Eswatini,331.5625,399.0,0.16901629072681704,SWZ
Ethiopia,66.5,92.72727272727273,0.282843137254902,ETH
Fiji,543.1111111111111,637.05,0.14745920867889314,FJI
Finland,3493.4423076923076,4236.24358974359,0.17534432718875884,FIN
France,3358.6233766233768,4014.9675324675327,0.16347433709900455,FRA
Gambia,84.5,134.29545454545453,0.3707903198510746,GMB
Georgia,368.17,504.15,0.26972131310125946,GEO
Germany,4089.3947368421054,5082.127659574468,0.19533805312074462,DEU
Ghana,297.76666666666665,244.87692307692308,-0.21598500554962194,GHA
Greece,1192.2583732057417,1410.3923444976076,0.15466190818666622,GRC
Guatemala,398.2135416666667,446.47169811320754,0.10808782874811584,GTM
Guyana,337.69565217391306,498.0,0.321896280775275,GUY
Haiti,286.0,103.5,-1.7632850241545894,HTI
Honduras,349.6,402.04587155963304,0.1304474819158889,HND
"Hong Kong, China",1667.1196581196582,2188.25641025641,0.23815159397873648,Unknown
Hungary,1037.4150943396226,1245.0440251572327,0.1667643285074914,HUN
Iceland,4685.401639344263,5876.0901639344265,0.20263278666114276,ISL
Indonesia,163.46428571428572,181.68235294117648,0.10027428053394509,IDN
Isle of Man,3493.1875,4535.722222222223,0.22984977279129878,IMN
Israel,2144.280701754386,3210.8934426229507,0.3321856548429269,ISR
Italy,2958.162162162162,3633.972972972973,0.18597023583747965,ITA
Japan,2225.28,3178.0466666666666,0.29979631094152165,JPN
Jordan,548.5882352941177,615.0813953488372,0.10810465177053288,JOR
Kazakhstan,585.2211538461538,772.6634615384615,0.24259243127543342,KAZ
Kenya,200.45,219.28571428571428,0.08589576547231272,KEN
"Korea, Republic of",2183.936842105263,3292.0947368421052,0.3366117877275387,KOR
Kyrgyzstan,129.77857142857144,154.88571428571427,0.16210108836008102,KGZ
Lao People's Democratic Republic,241.3953488372093,284.9130434782609,0.15274026808243343,LAO
Latvia,965.9493670886076,1156.8481012658228,0.16501624886476793,LVA
Lebanon,828.5652173913044,843.5652173913044,0.017781671992578085,LBN
Lesotho,303.7142857142857,313.23809523809524,0.03040437823046517,LSO
Liberia,29.076923076923077,39.256410256410255,0.2593076420640104,LBR
Lithuania,956.568345323741,1140.8345323741007,0.16151876702653614,LTU
Luxembourg,4184.047619047619,5545.9047619047615,0.2455608600082428,LUX
Madagascar,89.45454545454545,85.84615384615384,-0.042033235581622745,MDG
Malaysia,675.9071428571428,788.9642857142857,0.14329817572767187,MYS
Maldives,680.5714285714286,671.0,-0.01426442410048965,MDV
Mali,106.05494505494505,155.1769911504425,0.3165549591554725,MLI
Malta,1955.1739130434783,2356.4347826086955,0.17028303627440122,MLT
Mauritius,520.9060773480663,714.4818652849741,0.2709317021779122,MUS
Mexico,448.5,512.5494505494505,0.12496248016808878,MEX
"Moldova, Republic of",227.06410256410257,260.8205128205128,0.12942390876917023,MDA
Mongolia,346.7070707070707,371.020202020202,0.0655304783425444,MNG
